Senator,Estimated Holdings,Symbol,Company,Sector,Industry
Susan Collins (R-ME),"$42,333,400",MMM,3M Company,Health Care,Medical/Dental Instruments
Mark Warner (D-VA),"$23,574,100",BDJ,Blackrock Enhanced Equity Divid Trust,Finance,Investment Managers
Mitch McConnell (R-KY),"$12,320,800",VFIAX,Vanguard 500 Index Admiral Fund,Finance,Investment Managers
Dianne Feinstein (D-CA),"$9,205,300",CBRE,CBRE Group,Finance,Investment Managers
Elizabeth Warren (D-MA),"$8,439,900",TRGIX,TIAA-CREF Growth & Income Retirement Fund,Finance,Investment Managers
Mark Warner (D-VA),"$7,903,700",APO,"Apollo Global Management, Inc",Finance,Investment Managers
Mark Warner (D-VA),"$7,673,800",ARTIX,Artisan Fund International Fund,Technology,"Computer Software: Programming, Data Processing"
Mark Warner (D-VA),"$7,547,300",AKRIX,Akre Focus Fund Institutional,Technology,"Computer Software: Programming, Data Processing"
David Perdue (R-GA),"$6,472,700",VONN.SW,Vontobel Non-US Equity,Technology,"Computer Software: Programming, Data Processing"
David Perdue (R-GA),"$6,284,900",CDLX,"Cardlytics, Inc.",Technology,"Computer Software: Programming, Data Processing"
Mark Warner (D-VA),"$6,273,000",SCMGX,Sands Capital Global Growth Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$6,178,700",SPY,S&P 500 EFT,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Angus King (D-ME),"$5,820,200",VOO,Vanguard 500 Index,Capital Goods,Biotechnology: Laboratory Analytical Instruments
John Barrasso (R-WY),"$5,609,200",VTSAX,Vanguard Total Stock Market Idx Adm Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Michael Bennet (D-CO),"$5,344,300",ECERX,Eaton Vance Stock Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$5,008,400",COHOX,Coho Relative Value Equity Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$4,830,700",DXJ,WisdomTree Japan Hedged Equity Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$4,269,600",HEDJ,Wisdomtree Europe Hedged Equity Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$3,882,600",FPIVX,FPA International Value Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Angus King (D-ME),"$3,806,400",VWITX,Vanguard Interm-Term Tx-Ex Inv,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Richard Blumenthal (D-CT),"$3,745,600",VFIJX,Vanguard GNMA Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
Mark Warner (D-VA),"$3,547,300",ODMAX,Oppenheimer Developing Markets Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments
