Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
Susan Collins (R-ME),42333400,MMM,3M Company,Health Care,Medical/Dental Instruments,R,ME
Mark Warner (D-VA),23574100,BDJ,Blackrock Enhanced Equity Divid Trust,Finance,Investment Managers,D,VA
Mitch McConnell (R-KY),12320800,VFIAX,Vanguard 500 Index Admiral Fund,Finance,Investment Managers,R,KY
Dianne Feinstein (D-CA),9205300,CBRE,CBRE Group,Finance,Investment Managers,D,CA
Elizabeth Warren (D-MA),8439900,TRGIX,TIAA-CREF Growth & Income Retirement Fund,Finance,Investment Managers,D,MA
Mark Warner (D-VA),7903700,APO,"Apollo Global Management, Inc",Finance,Investment Managers,D,VA
Mark Warner (D-VA),7673800,ARTIX,Artisan Fund International Fund,Technology,"Computer Software: Programming, Data Processing",D,VA
Mark Warner (D-VA),7547300,AKRIX,Akre Focus Fund Institutional,Technology,"Computer Software: Programming, Data Processing",D,VA
David Perdue (R-GA),6472700,VONN.SW,Vontobel Non-US Equity,Technology,"Computer Software: Programming, Data Processing",R,GA
David Perdue (R-GA),6284900,CDLX,"Cardlytics, Inc.",Technology,"Computer Software: Programming, Data Processing",R,GA
Mark Warner (D-VA),6273000,SCMGX,Sands Capital Global Growth Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Mark Warner (D-VA),6178700,SPY,S&P 500 EFT,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Angus King (D-ME),5820200,VOO,Vanguard 500 Index,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,ME
John Barrasso (R-WY),5609200,VTSAX,Vanguard Total Stock Market Idx Adm Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,R,WY
Michael Bennet (D-CO),5344300,ECERX,Eaton Vance Stock Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,CO
Mark Warner (D-VA),5008400,COHOX,Coho Relative Value Equity Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Mark Warner (D-VA),4830700,DXJ,WisdomTree Japan Hedged Equity Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Mark Warner (D-VA),4269600,HEDJ,Wisdomtree Europe Hedged Equity Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Mark Warner (D-VA),3882600,FPIVX,FPA International Value Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Angus King (D-ME),3806400,VWITX,Vanguard Interm-Term Tx-Ex Inv,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,ME
Richard Blumenthal (D-CT),3745600,VFIJX,Vanguard GNMA Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,CT
Mark Warner (D-VA),3547300,ODMAX,Oppenheimer Developing Markets Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Richard Blumenthal (D-CT),3461000,STT,State Street Bank & Trust Co,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,CT
Mark Warner (D-VA),3391400,VMLUX,Vanguard Limited Tax-Exempt Fund,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Joe Manchin (D-WV),3224500,ENS,Enersystems Inc,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,WV
Mark Warner (D-VA),3191900,FMUSX,Federated Muni Ultra Short,Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,VA
Dianne Feinstein (D-CA),2649100,A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,D,CA
Dianne Feinstein (D-CA),2283400,DLR,"Digital Realty Trust, Inc.",Technology,Computer Software: Prepackaged Software,D,CA
Tina Smith (D-MN),2230000,DXCM,DexCom Inc,Technology,Computer Software: Prepackaged Software,D,MN
Dianne Feinstein (D-CA),2100800,PRDO,Career Education Corp,Technology,Computer Software: Prepackaged Software,D,CA
Kamala Harris (D-CA),1848000,VTV,Vanguard Index Funds - Vanguard Value ETF,Technology,Computer Software: Prepackaged Software,D,CA
Dianne Feinstein (D-CA),1655900,AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software,D,CA
Dianne Feinstein (D-CA),1577700,CWK,Cushman & Wakefield Ltd,Health Care,Medical/Dental Instruments,D,CA
Kamala Harris (D-CA),1484700,FCNTX,FCNTX - Fidelity Contrafund (NASDAQ),Health Care,Medical/Dental Instruments,D,CA
Ron Wyden (D-OR),1447900,DFUSX,DFA US Large Co Fund,Health Care,Medical/Dental Instruments,D,OR
Dianne Feinstein (D-CA),1434700,LIVC,Current Media,Health Care,Medical/Dental Instruments,D,CA
Rob Portman (R-OH),1427400,VWITX,Vanguard Interm-Term Tx-Ex Inv,Health Care,Medical/Dental Instruments,R,OH
Rob Portman (R-OH),1425300,IWB,iShares Russell 1000 Index,Health Care,Medical/Dental Instruments,R,OH
Tina Smith (D-MN),1423600,PODD,Insulet Corp,Health Care,Medical/Dental Instruments,D,MN
Dianne Feinstein (D-CA),1413400,MCHP,Microchip Technology,Health Care,Medical/Dental Instruments,D,CA
Richard Blumenthal (D-CT),1405800,MMM,3M Company,Health Care,Medical/Dental Instruments,D,CT
Elizabeth Warren (D-MA),1400000,TIEIX,TIAA-CREF Equity Index-Institutional,Technology,Computer Manufacturing,D,MA
Kamala Harris (D-CA),1286700,VUG,Vanguard Growth ETF,Technology,Computer Manufacturing,D,CA
Sheldon Whitehouse (D-RI),1278800,V,Visa Inc,Technology,Computer Manufacturing,D,RI
Sheldon Whitehouse (D-RI),1266000,AAPL,Apple Inc.,Technology,Computer Manufacturing,D,RI
Pat Roberts (R-KS),1243000,NFLX,Netflix Inc,Technology,Computer Communications Equipment,R,KS
Thom Tillis (R-NC),1231400,HACAX,Harbor Capital Appreciation Institutional,Technology,Computer Communications Equipment,R,NC
Ed Markey (D-MA),1204200,RYOCX,Rydex NASDAQ 100 INV Class Mutual Fund,Technology,Computer Communications Equipment,D,MA
Richard Blumenthal (D-CT),1194300,IHRT,iHeartMedia Inc,Technology,Computer Communications Equipment,D,CT
John Hoeven (R-ND),1162400,CSCO,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,R,ND
Rob Portman (R-OH),1149600,VOHIX,Vanguard OH Long Term Tax Exempt,Technology,Computer Manufacturing,R,OH
Dianne Feinstein (D-CA),1121700,RST,RST Inc,Technology,Computer Manufacturing,D,CA
Tina Smith (D-MN),1092500,SCHW,Charles Schwab,Technology,Computer Manufacturing,D,MN
David Perdue (R-GA),1052300,GGSAX,Goldman Sachs Growth Strategy Fund,Technology,Computer Manufacturing,R,GA
Tom Udall (D-NM),1037400,POCAX,Portfolio Optimization Moderate,Technology,Computer Manufacturing,D,NM
John Hoeven (R-ND),1012800,EL,Estee Lauder Companies,Technology,Computer Manufacturing,R,ND
John Hoeven (R-ND),991300,MSFT,Microsoft Corp,Technology,Computer Manufacturing,R,ND
Dan Sullivan (R-AK),975300,RPM,RPM Inc,Technology,Computer Manufacturing,R,AK
