Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Susan Collins (R-ME)|$42,333,400|MMM|3M Company|Health Care|Medical/Dental Instruments|
Mark Warner (D-VA)|$23,574,100|BDJ|Blackrock Enhanced Equity Divid Trust|||
Mitch McConnell (R-KY)|$12,320,800|VFIAX|Vanguard 500 Index Admiral Fund|||
Dianne Feinstein (D-CA)|$9,205,300|CBRE|CBRE Group|||
Elizabeth Warren (D-MA)|$8,439,900|TRGIX|TIAA-CREF Growth & Income Retirement Fund|||
Mark Warner (D-VA)|$7,903,700|APO|Apollo Global Management, Inc|Finance|Investment Managers|
Mark Warner (D-VA)|$7,673,800|ARTIX|Artisan Fund International Fund|||
Mark Warner (D-VA)|$7,547,300|AKRIX|Akre Focus Fund Institutional|||
David Perdue (R-GA)|$6,472,700|VONN.SW|Vontobel Non-US Equity|||
David Perdue (R-GA)|$6,284,900|CDLX|Cardlytics, Inc.|Technology|Computer Software: Programming, Data Processing|
Mark Warner (D-VA)|$6,273,000|SCMGX|Sands Capital Global Growth Fund|||
Mark Warner (D-VA)|$6,178,700|SPY|S&P 500 EFT|||
Angus King (D-ME)|$5,820,200|VOO|Vanguard 500 Index|||
John Barrasso (R-WY)|$5,609,200|VTSAX|Vanguard Total Stock Market Idx Adm Fund|||
Michael Bennet (D-CO)|$5,344,300|ECERX|Eaton Vance Stock Fund|||
Mark Warner (D-VA)|$5,008,400|COHOX|Coho Relative Value Equity Fund|||
Mark Warner (D-VA)|$4,830,700|DXJ|WisdomTree Japan Hedged Equity Fund|||
Mark Warner (D-VA)|$4,269,600|HEDJ|Wisdomtree Europe Hedged Equity Fund|||
Mark Warner (D-VA)|$3,882,600|FPIVX|FPA International Value Fund|||
Angus King (D-ME)|$3,806,400|VWITX|Vanguard Interm-Term Tx-Ex Inv|||
Richard Blumenthal (D-CT)|$3,745,600|VFIJX|Vanguard GNMA Fund|||
Mark Warner (D-VA)|$3,547,300|ODMAX|Oppenheimer Developing Markets Fund|||
Richard Blumenthal (D-CT)|$3,461,000|STT|State Street Bank & Trust Co|||
Mark Warner (D-VA)|$3,391,400|VMLUX|Vanguard Limited Tax-Exempt Fund|||
Joe Manchin (D-WV)|$3,224,500|ENS|Enersystems Inc|||
Mark Warner (D-VA)|$3,191,900|FMUSX|Federated Muni Ultra Short|||
Dianne Feinstein (D-CA)|$2,649,100|A|Agilent Technologies, Inc.|Capital Goods|Biotechnology: Laboratory Analytical Instruments|
Dianne Feinstein (D-CA)|$2,283,400|DLR|Digital Realty Trust, Inc.|||
Tina Smith (D-MN)|$2,230,000|DXCM|DexCom Inc|||
Dianne Feinstein (D-CA)|$2,100,800|PRDO|Career Education Corp|||
Kamala Harris (D-CA)|$1,848,000|VTV|Vanguard Index Funds - Vanguard Value ETF|||
Dianne Feinstein (D-CA)|$1,655,900|AVID|Avid Technology, Inc.|Technology|Computer Software: Prepackaged Software|
Dianne Feinstein (D-CA)|$1,577,700|CWK|Cushman & Wakefield Ltd|||
Kamala Harris (D-CA)|$1,484,700|FCNTX|FCNTX - Fidelity Contrafund (NASDAQ)|||
Ron Wyden (D-OR)|$1,447,900|DFUSX|DFA US Large Co Fund|||
Dianne Feinstein (D-CA)|$1,434,700|LIVC|Current Media|||
Rob Portman (R-OH)|$1,427,400|VWITX|Vanguard Interm-Term Tx-Ex Inv|||
Rob Portman (R-OH)|$1,425,300|IWB|iShares Russell 1000 Index|||
Tina Smith (D-MN)|$1,423,600|PODD|Insulet Corp|||
Dianne Feinstein (D-CA)|$1,413,400|MCHP|Microchip Technology|||
Richard Blumenthal (D-CT)|$1,405,800|MMM|3M Company|Health Care|Medical/Dental Instruments|
Elizabeth Warren (D-MA)|$1,400,000|TIEIX|TIAA-CREF Equity Index-Institutional|||
Kamala Harris (D-CA)|$1,286,700|VUG|Vanguard Growth ETF|||
Sheldon Whitehouse (D-RI)|$1,278,800|V|Visa Inc|||
Sheldon Whitehouse (D-RI)|$1,266,000|AAPL|Apple Inc.|Technology|Computer Manufacturing|
Pat Roberts (R-KS)|$1,243,000|NFLX|Netflix Inc|||
Thom Tillis (R-NC)|$1,231,400|HACAX|Harbor Capital Appreciation Institutional|||
Ed Markey (D-MA)|$1,204,200|RYOCX|Rydex NASDAQ 100 INV Class Mutual Fund|||
Richard Blumenthal (D-CT)|$1,194,300|IHRT|iHeartMedia Inc|||
John Hoeven (R-ND)|$1,162,400|CSCO|Cisco Systems, Inc.|Technology|Computer Communications Equipment|
Rob Portman (R-OH)|$1,149,600|VOHIX|Vanguard OH Long Term Tax Exempt|||
Dianne Feinstein (D-CA)|$1,121,700|RST|RST Inc|||
Tina Smith (D-MN)|$1,092,500|SCHW|Charles Schwab|||
